App,Package,Start Time,Duration,Filename
"System",,"May 3, 2014 @ 02:32:13 PM","17 sec",""

Time  [ms],"Battery Status",Time  [ms],"Battery Power [uW]",Time  [ms],"Application State",Description,
9853,0,9973,2380577,5829,330,VectorAdd::JavaThreaded::Compute::Start,
9953,0,10080,2157529,5929,330,VectorAdd::JavaThreaded::Compute::Start,
10054,0,10177,2391120,6030,330,VectorAdd::JavaThreaded::Compute::Start,
10154,0,10283,2293759,6131,330,VectorAdd::JavaThreaded::Compute::Start,
10254,0,10374,2284511,6231,330,VectorAdd::JavaThreaded::Compute::Start,
10354,0,10478,2481818,6331,330,VectorAdd::JavaThreaded::Compute::Start,
10455,0,10579,2354016,6432,330,VectorAdd::JavaThreaded::Compute::Start,
10555,0,10677,3359194,6454,331,VectorAdd::JavaThreaded::Compute::Stop,
10655,0,10778,3504058,6531,0,:: :: :: ::,
10756,0,10876,4124991,6534,0,:: :: :: ::,
10856,0,10977,3987647,6558,459,VectorAdd::RenderScript::IO::Start,
10957,0,11081,4750782,6634,459,VectorAdd::RenderScript::IO::Start,
11057,0,11179,3289501,6735,459,VectorAdd::RenderScript::IO::Start,
11158,0,11283,3416402,6812,460,VectorAdd::RenderScript::IO::Stop,
11258,0,11387,2358096,6814,172,VectorAdd::RenderScript::Allocate::Start,
11358,0,11479,2384928,6815,173,VectorAdd::RenderScript::Allocate::Stop,
11459,0,11592,2724687,6816,23,VectorAdd::RenderScript::Init::Start,
11572,0,11693,1758295,6832,24,VectorAdd::RenderScript::Init::Stop,
11672,0,11793,1830059,6833,626,VectorAdd::RenderScript::Setup::Start,
11772,0,11895,1699425,6835,627,VectorAdd::RenderScript::Setup::Stop,
11872,0,11994,1512472,6838,172,VectorAdd::RenderScript::Allocate::Start,
11973,0,12095,1355233,6876,173,VectorAdd::RenderScript::Allocate::Stop,
12073,0,12194,1307166,6879,249,VectorAdd::RenderScript::CopyTo::Start,
12173,0,12294,1252484,6882,250,VectorAdd::RenderScript::CopyTo::Stop,
12273,0,12399,1811988,6883,277,VectorAdd::RenderScript::SetupArgs::Start,
12374,0,12495,1268352,6885,278,VectorAdd::RenderScript::SetupArgs::Stop,
12474,0,12597,2010069,6930,232,VectorAdd::RenderScript::Compute::Start,
12574,0,12696,1775664,6936,232,VectorAdd::RenderScript::Compute::Start,
12674,0,12798,2318362,7037,232,VectorAdd::RenderScript::Compute::Start,
12775,0,12897,2157141,7074,233,VectorAdd::RenderScript::Compute::Stop,
12875,0,13001,3687164,7075,642,VectorAdd::RenderScript::CopyFrom::Start,
12976,0,13102,3444881,7077,643,VectorAdd::RenderScript::CopyFrom::Stop,
13076,0,13197,1801822,7136,643,VectorAdd::RenderScript::CopyFrom::Stop,
13176,0,13297,1789225,7237,643,VectorAdd::RenderScript::CopyFrom::Stop,
13276,0,13399,3385120,7291,0,:: :: :: ::,
13377,0,13507,1345211,7323,862,VectorAdd::OpenCL(GPU)::IO::Start,
13478,0,13605,1709447,7338,862,VectorAdd::OpenCL(GPU)::IO::Start,
13579,0,13705,1866540,7437,862,VectorAdd::OpenCL(GPU)::IO::Start,
13680,0,13801,2818969,7538,862,VectorAdd::OpenCL(GPU)::IO::Start,
13780,0,13903,3331720,7597,863,VectorAdd::OpenCL(GPU)::IO::Stop,
13881,0,14002,1996315,7598,639,VectorAdd::OpenCL(GPU)::Allocate::Start,
13981,0,14107,2828759,7602,640,VectorAdd::OpenCL(GPU)::Allocate::Stop,
14081,0,14202,2061047,7603,140,VectorAdd::OpenCL(GPU)::Init::Start,
14181,0,14303,1720088,7604,141,VectorAdd::OpenCL(GPU)::Init::Stop,
14282,0,14403,2706541,7605,377,VectorAdd::OpenCL(GPU)::Compile::Start,
14382,0,14505,2453723,7638,377,VectorAdd::OpenCL(GPU)::Compile::Start,
14482,0,14612,1360032,7643,378,VectorAdd::OpenCL(GPU)::Compile::Stop,
14583,0,14703,1885017,7645,17,VectorAdd::OpenCL(GPU)::Setup::Start,
14683,0,14803,2087003,7646,18,VectorAdd::OpenCL(GPU)::Setup::Stop,
14783,0,14904,2441812,7652,640,VectorAdd::OpenCL(GPU)::Allocate::Stop,
14883,0,15004,1929742,7655,308,VectorAdd::OpenCL(GPU)::CopyTo::Start,
14983,0,15112,1931033,7664,309,VectorAdd::OpenCL(GPU)::CopyTo::Stop,
15084,0,15205,2502060,7701,597,VectorAdd::OpenCL(GPU)::Compute::Start,
15184,0,15308,2536410,7738,597,VectorAdd::OpenCL(GPU)::Compute::Start,
15284,0,15408,2138756,7839,597,VectorAdd::OpenCL(GPU)::Compute::Start,
15385,0,15509,2538734,7944,597,VectorAdd::OpenCL(GPU)::Compute::Start,
15485,0,15610,1693760,8007,598,VectorAdd::OpenCL(GPU)::Compute::Stop,
15585,0,15706,4312341,8010,843,VectorAdd::OpenCL(GPU)::CopyFrom::Start,
15685,0,15807,2386216,8014,844,VectorAdd::OpenCL(GPU)::CopyFrom::Stop,
15785,0,15906,1322733,8017,808,VectorAdd::OpenCL(GPU)::Free::Start,
15886,0,16007,2850649,8019,809,VectorAdd::OpenCL(GPU)::Free::Stop,
15986,0,16110,3334386,8044,809,VectorAdd::OpenCL(GPU)::Free::Stop,
16087,0,16208,1262305,8143,809,VectorAdd::OpenCL(GPU)::Free::Stop,
16187,0,16311,1300922,8203,0,:: :: :: ::,
16287,0,16409,1343963,8243,0,:: :: :: ::,
16388,0,16512,1394373,8343,0,:: :: :: ::,
16488,0,16610,1339975,8445,0,:: :: :: ::,
16588,0,16718,4051914,8554,0,:: :: :: ::,
16688,0,16811,1809899,8647,0,:: :: :: ::,
16789,0,16910,2810756,8747,0,:: :: :: ::,
16889,0,,,8860,0,:: :: :: ::,
,,,,8949,0,:: :: :: ::,

System Statistics:
Sensor Id,Name,Type,Average
206,"Battery Status",Battery Status,0.0
332,"Battery Power",Power Measurements [uW],2747852.2130177515

Application State Statistics:
App State 141,"VectorAdd::OpenCL(GPU)::Init::Stop",Start Time: 7.60 s,End Time: 7.60 s
Sensor Id,Name,Type,Average
