App,Package,Start Time,Duration,Filename
"System",,"May 3, 2014 @ 03:47:45 PM","4 min 10 sec",""

Time  [ms],"Battery Status",Time  [ms],"Battery Power [uW]",Time  [ms],"Application State",Description,
10744,0,10865,3130679,9942,368,Tpacf::Java::IO::Start,
10845,0,10966,3088790,10043,368,Tpacf::Java::IO::Start,
10945,0,11068,5329855,10143,368,Tpacf::Java::IO::Start,
11045,0,11166,4091885,10243,368,Tpacf::Java::IO::Start,
11146,0,11267,3228400,10344,368,Tpacf::Java::IO::Start,
11246,0,11367,4129007,10444,368,Tpacf::Java::IO::Start,
11347,0,11467,2957431,10544,368,Tpacf::Java::IO::Start,
11447,0,11571,3431416,10644,368,Tpacf::Java::IO::Start,
11548,0,11668,3420077,10746,368,Tpacf::Java::IO::Start,
11648,0,11770,4041279,10845,368,Tpacf::Java::IO::Start,
11750,0,11877,3178846,10945,368,Tpacf::Java::IO::Start,
11850,0,11971,2814327,11045,368,Tpacf::Java::IO::Start,
11950,0,12071,2763486,11146,368,Tpacf::Java::IO::Start,
12051,0,12174,3406176,11247,368,Tpacf::Java::IO::Start,
12151,0,12273,2668063,11347,368,Tpacf::Java::IO::Start,
12252,0,12372,2708206,11448,368,Tpacf::Java::IO::Start,
12352,0,12473,3618265,11548,368,Tpacf::Java::IO::Start,
12453,0,12573,2829277,11648,368,Tpacf::Java::IO::Start,
12553,0,12673,3469217,11750,368,Tpacf::Java::IO::Start,
12653,0,12774,2819035,11851,368,Tpacf::Java::IO::Start,
12753,0,12887,3176424,11951,368,Tpacf::Java::IO::Start,
12854,0,12983,3003400,12051,368,Tpacf::Java::IO::Start,
12956,0,13076,2907258,12151,368,Tpacf::Java::IO::Start,
13056,0,13176,2840679,12252,368,Tpacf::Java::IO::Start,
13156,0,13276,2835803,12352,368,Tpacf::Java::IO::Start,
13256,0,13376,2915301,12453,368,Tpacf::Java::IO::Start,
13356,0,13476,2851252,12553,368,Tpacf::Java::IO::Start,
13457,0,13577,2841328,12653,368,Tpacf::Java::IO::Start,
13557,0,13677,2799017,12754,368,Tpacf::Java::IO::Start,
13657,0,13778,2714770,12854,368,Tpacf::Java::IO::Start,
13757,0,13879,2738947,12956,368,Tpacf::Java::IO::Start,
13858,0,13983,2785789,13056,368,Tpacf::Java::IO::Start,
13958,0,14088,2456615,13156,368,Tpacf::Java::IO::Start,
14058,0,14178,3737523,13256,368,Tpacf::Java::IO::Start,
14158,0,14279,3618455,13357,368,Tpacf::Java::IO::Start,
14259,0,14382,4306593,13457,368,Tpacf::Java::IO::Start,
14359,0,14480,4076458,13557,368,Tpacf::Java::IO::Start,
14459,0,14579,3007684,13657,368,Tpacf::Java::IO::Start,
14559,0,14683,3758201,13758,368,Tpacf::Java::IO::Start,
