App,Package,Start Time,Duration,Filename
"System",,"May 3, 2014 @ 03:39:43 PM","1 min 33 sec",""

Time  [ms],"Battery Status",Time  [ms],"Battery Power [uW]",Time  [ms],"Application State",Description,
10539,0,10659,1718688,10539,598,Histogram::NativeC::IO::Start,
10639,0,10761,3036856,10625,599,Histogram::NativeC::IO::Stop,
10739,0,10867,5078843,10627,669,Histogram::NativeC::Allocate::Start,
10839,0,10961,3740748,10631,670,Histogram::NativeC::Allocate::Stop,
10940,0,11062,3373554,10632,592,Histogram::NativeC::Init::Start,
11040,0,11164,1850049,10633,593,Histogram::NativeC::Init::Stop,
11140,0,11265,1759038,10635,27,Histogram::NativeC::Setup::Start,
11241,0,11364,2871934,10637,669,Histogram::NativeC::Allocate::Start,
11342,0,11462,2666092,10638,670,Histogram::NativeC::Allocate::Stop,
11442,0,11568,2710290,10639,670,Histogram::NativeC::Allocate::Stop,
11543,0,11672,2993377,10671,911,Histogram::NativeC::Compute::Start,
11643,0,11768,2799499,10740,911,Histogram::NativeC::Compute::Start,
11747,0,11863,3712472,10840,911,Histogram::NativeC::Compute::Start,
11843,0,11963,2823336,10940,911,Histogram::NativeC::Compute::Start,
11944,0,12068,3608831,11040,911,Histogram::NativeC::Compute::Start,
12044,0,12164,3252515,11141,911,Histogram::NativeC::Compute::Start,
12144,0,12264,3067675,11241,911,Histogram::NativeC::Compute::Start,
12244,0,12367,4056652,11342,911,Histogram::NativeC::Compute::Start,
12344,0,12465,4753518,11443,911,Histogram::NativeC::Compute::Start,
12445,0,12566,3489887,11543,911,Histogram::NativeC::Compute::Start,
12545,0,12673,3617758,11643,911,Histogram::NativeC::Compute::Start,
12646,0,12770,3630912,11747,911,Histogram::NativeC::Compute::Start,
12746,0,12867,2804116,11843,911,Histogram::NativeC::Compute::Start,
12846,0,12967,3539971,11930,912,Histogram::NativeC::Compute::Stop,
12947,0,13069,3471073,11933,924,Histogram::NativeC::Free::Start,
13047,0,13173,4507184,11934,925,Histogram::NativeC::Free::Stop,
13147,0,13269,3612968,11944,925,Histogram::NativeC::Free::Stop,
13247,0,13369,3588891,12040,0,:: :: :: ::,
13348,0,13470,3577900,12044,0,:: :: :: ::,
13448,0,13570,4132857,12069,836,Histogram::Java::IO::Start,
13548,0,13668,4426465,12144,836,Histogram::Java::IO::Start,
13648,0,13779,3451574,12244,836,Histogram::Java::IO::Start,
13749,0,13886,3659354,12345,836,Histogram::Java::IO::Start,
13849,0,13972,2903901,12445,836,Histogram::Java::IO::Start,
13949,0,14078,2992141,12545,836,Histogram::Java::IO::Start,
14049,0,14169,3446380,12646,836,Histogram::Java::IO::Start,
14150,0,14270,3580506,12746,836,Histogram::Java::IO::Start,
14250,0,14370,3726240,12847,836,Histogram::Java::IO::Start,
14350,0,14470,3521983,12947,836,Histogram::Java::IO::Start,
14450,0,14575,3354059,13047,836,Histogram::Java::IO::Start,
14555,0,14675,3733406,13147,836,Histogram::Java::IO::Start,
14656,0,14775,3726630,13248,836,Histogram::Java::IO::Start,
14756,0,14884,3504958,13348,836,Histogram::Java::IO::Start,
14856,0,14978,3432016,13448,836,Histogram::Java::IO::Start,
14956,0,15076,3422996,13548,836,Histogram::Java::IO::Start,
15056,0,15177,3767960,13649,836,Histogram::Java::IO::Start,
15157,0,15277,4263786,13749,836,Histogram::Java::IO::Start,
15257,0,15377,3755004,13849,836,Histogram::Java::IO::Start,
15357,0,15478,3739605,13950,836,Histogram::Java::IO::Start,
15458,0,15578,3671248,14050,836,Histogram::Java::IO::Start,
15558,0,15678,3590073,14150,836,Histogram::Java::IO::Start,
15658,0,15779,3649844,14250,836,Histogram::Java::IO::Start,
15758,0,15879,2763844,14350,836,Histogram::Java::IO::Start,
15859,0,15979,3980416,14450,836,Histogram::Java::IO::Start,
15959,0,16080,3633950,14556,836,Histogram::Java::IO::Start,
16060,0,16181,3909144,14656,836,Histogram::Java::IO::Start,
16160,0,16280,3124551,14756,836,Histogram::Java::IO::Start,
16260,0,16381,2659737,14856,836,Histogram::Java::IO::Start,
16361,0,16482,2693451,14956,836,Histogram::Java::IO::Start,
16461,0,16581,2450276,15057,836,Histogram::Java::IO::Start,
16561,0,16681,2905690,15157,836,Histogram::Java::IO::Start,
16661,0,16781,2843505,15257,836,Histogram::Java::IO::Start,
16761,0,16881,3027945,15358,836,Histogram::Java::IO::Start,
16862,0,16990,2645148,15458,836,Histogram::Java::IO::Start,
16962,0,17086,2585004,15558,836,Histogram::Java::IO::Start,
17062,0,17182,2592365,15658,836,Histogram::Java::IO::Start,
17162,0,17282,2392051,15759,836,Histogram::Java::IO::Start,
17262,0,17383,2441842,15859,836,Histogram::Java::IO::Start,
17363,0,17484,2392641,15960,836,Histogram::Java::IO::Start,
17463,0,17584,2414973,16060,836,Histogram::Java::IO::Start,
17563,0,17686,2725201,16160,836,Histogram::Java::IO::Start,
17664,0,17785,3142305,16261,836,Histogram::Java::IO::Start,
17764,0,17885,2495207,16361,836,Histogram::Java::IO::Start,
17864,0,17985,2486120,16461,836,Histogram::Java::IO::Start,
17965,0,18119,2635236,16561,836,Histogram::Java::IO::Start,
18067,0,18192,2589542,16661,836,Histogram::Java::IO::Start,
18166,0,18286,2473798,16762,836,Histogram::Java::IO::Start,
18266,0,18386,2024846,16862,836,Histogram::Java::IO::Start,
18367,0,18488,1926637,16962,836,Histogram::Java::IO::Start,
18467,0,18588,2455221,17062,836,Histogram::Java::IO::Start,
18568,0,18697,2710388,17162,836,Histogram::Java::IO::Start,
18670,0,18795,2589775,17263,836,Histogram::Java::IO::Start,
18771,0,18900,2595190,17363,836,Histogram::Java::IO::Start,
18871,0,19010,2644095,17463,836,Histogram::Java::IO::Start,
18972,0,19093,2481465,17564,836,Histogram::Java::IO::Start,
19072,0,19203,2991831,17664,836,Histogram::Java::IO::Start,
