App,Package,Start Time,Duration,Filename
"System",,"May 4, 2014 @ 01:14:42 AM","7 min 22 sec",""

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power [uW]",Time  [ms],"Application State",Description,
8844,0,8945,1292228,8950,2229000,8041,368,Tpacf::Java::IO::Start,
8944,0,9046,1292352,9052,2229000,8142,368,Tpacf::Java::IO::Start,
9045,0,9146,1292352,9150,2229000,8242,368,Tpacf::Java::IO::Start,
9145,0,9246,1292352,9250,2229000,8343,368,Tpacf::Java::IO::Start,
9245,0,9346,1292476,9349,2229000,8443,368,Tpacf::Java::IO::Start,
9346,0,9447,1292352,9450,2229000,8543,368,Tpacf::Java::IO::Start,
9446,0,9547,1292476,9550,2229000,8644,368,Tpacf::Java::IO::Start,
9546,0,9648,1292352,9651,2221000,8745,368,Tpacf::Java::IO::Start,
9647,0,9749,1292600,9752,2221000,8845,368,Tpacf::Java::IO::Start,
9747,0,9848,1292600,9851,2221000,8945,368,Tpacf::Java::IO::Start,
9847,0,9949,1292724,9951,2221000,9048,368,Tpacf::Java::IO::Start,
9948,0,10049,1292724,10052,2221000,9146,368,Tpacf::Java::IO::Start,
10048,0,10150,1292724,10153,2221000,9246,368,Tpacf::Java::IO::Start,
10149,0,10250,1292724,10253,2221000,9347,368,Tpacf::Java::IO::Start,
10249,0,10350,1292724,10354,2221000,9447,368,Tpacf::Java::IO::Start,
10349,0,10450,1292724,10455,2221000,9547,368,Tpacf::Java::IO::Start,
10450,0,10551,1292600,10556,2221000,9648,368,Tpacf::Java::IO::Start,
10550,0,10651,1292724,10655,2216000,9750,368,Tpacf::Java::IO::Start,
10650,0,10752,1292600,10755,2216000,9848,368,Tpacf::Java::IO::Start,
10751,0,10852,1292600,10857,2216000,9949,368,Tpacf::Java::IO::Start,
10851,0,10955,1292600,10959,2216000,10049,368,Tpacf::Java::IO::Start,
10952,0,11053,1292600,11057,2216000,10150,368,Tpacf::Java::IO::Start,
11053,0,11154,1292600,11158,2216000,10250,368,Tpacf::Java::IO::Start,
11153,0,11254,1292600,11262,2216000,10350,368,Tpacf::Java::IO::Start,
11253,0,11355,1292600,11359,2216000,10451,368,Tpacf::Java::IO::Start,
11354,0,11456,1292600,11460,2216000,10551,368,Tpacf::Java::IO::Start,
11455,0,11556,1292600,11560,2216000,10651,368,Tpacf::Java::IO::Start,
11556,0,11657,1292600,11660,2244000,10752,368,Tpacf::Java::IO::Start,
11656,0,11757,1292600,11761,2244000,10852,368,Tpacf::Java::IO::Start,
11756,0,11857,1292600,11861,2244000,10955,368,Tpacf::Java::IO::Start,
11857,0,11958,1292600,11963,2244000,11054,368,Tpacf::Java::IO::Start,
11957,0,12058,1292600,12062,2244000,11155,368,Tpacf::Java::IO::Start,
12057,0,12161,1292724,12166,2244000,11255,368,Tpacf::Java::IO::Start,
12158,0,12259,1292972,12264,2244000,11355,368,Tpacf::Java::IO::Start,
12258,0,12359,1292724,12363,2244000,11456,368,Tpacf::Java::IO::Start,
12359,0,12460,1292724,12464,2244000,11557,368,Tpacf::Java::IO::Start,
12459,0,12560,1292724,12565,2244000,11657,368,Tpacf::Java::IO::Start,
12559,0,12661,1292724,12665,2228000,11757,368,Tpacf::Java::IO::Start,
12660,0,12762,1292724,12766,2228000,11858,368,Tpacf::Java::IO::Start,
12760,0,12861,1292724,12867,2228000,11959,368,Tpacf::Java::IO::Start,
12861,0,12962,1292600,12967,2228000,12058,368,Tpacf::Java::IO::Start,
12961,0,13062,1292600,13068,2228000,12162,368,Tpacf::Java::IO::Start,
13061,0,13163,1292600,13167,2228000,12259,368,Tpacf::Java::IO::Start,
13162,0,13263,1292600,13266,2228000,12360,368,Tpacf::Java::IO::Start,
13262,0,13363,1292724,13375,2228000,12460,368,Tpacf::Java::IO::Start,
13362,0,13464,1292724,13468,2228000,12561,368,Tpacf::Java::IO::Start,
13463,0,13565,1292724,13568,2228000,12661,368,Tpacf::Java::IO::Start,
13564,0,13666,1292724,13670,2248000,12762,368,Tpacf::Java::IO::Start,
13665,0,13767,1292724,13771,2248000,12862,368,Tpacf::Java::IO::Start,
13766,0,13867,1292600,13871,2248000,12962,368,Tpacf::Java::IO::Start,
13866,0,13967,1292724,13971,2248000,13062,368,Tpacf::Java::IO::Start,
13967,0,14068,1292600,14072,2248000,13163,368,Tpacf::Java::IO::Start,
14067,0,14168,1292724,14173,2248000,13263,368,Tpacf::Java::IO::Start,
14167,0,14268,1292724,14273,2248000,13363,368,Tpacf::Java::IO::Start,
14268,0,14369,1292724,14376,2248000,13464,368,Tpacf::Java::IO::Start,
14368,0,14469,1292724,14476,2248000,13565,368,Tpacf::Java::IO::Start,
14468,0,14571,1292600,14578,2248000,13666,368,Tpacf::Java::IO::Start,
14569,0,14670,1292600,14675,2232000,13767,368,Tpacf::Java::IO::Start,
14669,0,14770,1292600,14775,2232000,13867,368,Tpacf::Java::IO::Start,
14770,0,14871,1292600,14877,2232000,13968,368,Tpacf::Java::IO::Start,
14870,0,14971,1292600,14978,2232000,14068,368,Tpacf::Java::IO::Start,
14970,0,15073,1292600,15077,2232000,14169,368,Tpacf::Java::IO::Start,
15071,0,15173,1292600,15177,2232000,14269,368,Tpacf::Java::IO::Start,
15172,0,15274,1292724,15278,2232000,14369,368,Tpacf::Java::IO::Start,
15273,0,15374,1292724,15378,2232000,14469,368,Tpacf::Java::IO::Start,
15373,0,15475,1292476,15478,2232000,14571,368,Tpacf::Java::IO::Start,
15474,0,15575,1292600,15579,2232000,14670,368,Tpacf::Java::IO::Start,
15574,0,15675,1292600,15680,2231000,14771,368,Tpacf::Java::IO::Start,
15674,0,15776,1292600,15785,2231000,14871,368,Tpacf::Java::IO::Start,
15775,0,15876,1292724,15880,2231000,14972,368,Tpacf::Java::IO::Start,
15875,0,15976,1292600,15980,2231000,15074,368,Tpacf::Java::IO::Start,
15975,0,16077,1292724,16081,2231000,15173,368,Tpacf::Java::IO::Start,
16076,0,16177,1292600,16181,2231000,15274,368,Tpacf::Java::IO::Start,
16176,0,16277,1292600,16282,2231000,15375,368,Tpacf::Java::IO::Start,
16276,0,16378,1292600,16381,2231000,15475,368,Tpacf::Java::IO::Start,
16377,0,16478,1292724,16485,2231000,15575,368,Tpacf::Java::IO::Start,
16477,0,16579,1292600,16584,2231000,15676,368,Tpacf::Java::IO::Start,
16578,0,16680,1292600,16687,2243000,15776,368,Tpacf::Java::IO::Start,
16679,0,16780,1292724,16785,2243000,15876,368,Tpacf::Java::IO::Start,
16780,0,16882,1292724,16886,2243000,15977,368,Tpacf::Java::IO::Start,
16881,0,16982,1292600,16992,2243000,16077,368,Tpacf::Java::IO::Start,
