App,Package,Start Time,Duration,Filename
"System",,"May 3, 2014 @ 03:41:56 PM","5 min 18 sec",""

Time  [ms],"Battery Status",Time  [ms],"Battery Power [uW]",Time  [ms],"Application State",Description,
11042,0,11164,2829879,10842,0,Mriq::Java::Compute::Start,
11142,0,11265,2754644,10942,0,Mriq::Java::Compute::Start,
11243,0,11364,3383377,11042,0,Mriq::Java::Compute::Start,
11343,0,11464,3665420,11143,0,Mriq::Java::Compute::Start,
11444,0,11567,3552516,11243,0,Mriq::Java::Compute::Start,
11545,0,11672,3046410,11343,0,Mriq::Java::Compute::Start,
11645,0,11770,3130923,11444,0,Mriq::Java::Compute::Start,
11745,0,11867,3055287,11545,0,Mriq::Java::Compute::Start,
11846,0,11967,3063986,11645,0,Mriq::Java::Compute::Start,
11946,0,12067,3397020,11746,0,Mriq::Java::Compute::Start,
12047,0,12168,3161609,11846,0,Mriq::Java::Compute::Start,
12147,0,12268,3547791,11947,0,Mriq::Java::Compute::Start,
12248,0,12368,3004041,12047,0,Mriq::Java::Compute::Start,
12349,0,12469,2903903,12148,0,Mriq::Java::Compute::Start,
12449,0,12570,2929933,12248,0,Mriq::Java::Compute::Start,
12549,0,12671,2912178,12349,0,Mriq::Java::Compute::Start,
12650,0,12780,3092839,12449,0,Mriq::Java::Compute::Start,
12750,0,12877,3061475,12549,0,Mriq::Java::Compute::Start,
12851,0,12973,2859771,12650,0,Mriq::Java::Compute::Start,
12951,0,13074,2624168,12750,0,Mriq::Java::Compute::Start,
13052,0,13173,2939567,12851,0,Mriq::Java::Compute::Start,
13152,0,13274,3783786,12952,0,Mriq::Java::Compute::Start,
13253,0,13374,2963649,13052,0,Mriq::Java::Compute::Start,
13353,0,13474,3181637,13152,0,Mriq::Java::Compute::Start,
13454,0,13576,3092839,13253,0,Mriq::Java::Compute::Start,
13555,0,13676,2988549,13353,0,Mriq::Java::Compute::Start,
13655,0,13777,2997865,13454,0,Mriq::Java::Compute::Start,
13756,0,13877,2937815,13555,0,Mriq::Java::Compute::Start,
13856,0,13988,3092839,13656,0,Mriq::Java::Compute::Start,
13957,0,14079,2770898,13756,0,Mriq::Java::Compute::Start,
14057,0,14179,2979477,13857,0,Mriq::Java::Compute::Start,
14158,0,14280,3242994,13957,0,Mriq::Java::Compute::Start,
14258,0,14380,3013756,14059,0,Mriq::Java::Compute::Start,
14359,0,14480,2991000,14158,0,Mriq::Java::Compute::Start,
14460,0,14579,3057561,14258,0,Mriq::Java::Compute::Start,
14560,0,14681,2961880,14359,0,Mriq::Java::Compute::Start,
14660,0,14783,2927798,14460,0,Mriq::Java::Compute::Start,
14761,0,14882,3003414,14560,0,Mriq::Java::Compute::Start,
14862,0,14987,3225081,14661,0,Mriq::Java::Compute::Start,
14963,0,15083,2965917,14762,0,Mriq::Java::Compute::Start,
15063,0,15184,2941393,14862,0,Mriq::Java::Compute::Start,
15164,0,15284,3076760,14963,0,Mriq::Java::Compute::Start,
15264,0,15385,2985645,15064,0,Mriq::Java::Compute::Start,
15365,0,15487,2931669,15164,0,Mriq::Java::Compute::Start,
15465,0,15587,2974038,15264,0,Mriq::Java::Compute::Start,
15566,0,15688,2991817,15365,0,Mriq::Java::Compute::Start,
15666,0,15789,3013756,15466,0,Mriq::Java::Compute::Start,
15767,0,15889,2985006,15566,0,Mriq::Java::Compute::Start,
15868,0,15997,3045983,15667,0,Mriq::Java::Compute::Start,
15968,0,16096,3095103,15767,0,Mriq::Java::Compute::Start,
16069,0,16191,2863851,15868,0,Mriq::Java::Compute::Start,
16169,0,16291,3029879,15968,0,Mriq::Java::Compute::Start,
16270,0,16393,3772040,16069,0,Mriq::Java::Compute::Start,
16370,0,16491,3199396,16170,0,Mriq::Java::Compute::Start,
16471,0,16592,2908439,16270,0,Mriq::Java::Compute::Start,
16571,0,16692,3163881,16371,0,Mriq::Java::Compute::Start,
16672,0,16794,2777321,16471,0,Mriq::Java::Compute::Start,
16772,0,16893,3163881,16572,0,Mriq::Java::Compute::Start,
16873,0,16994,3066007,16672,0,Mriq::Java::Compute::Start,
16973,0,17102,3687604,16774,0,Mriq::Java::Compute::Start,
17073,0,17204,3257211,16873,0,Mriq::Java::Compute::Start,
17174,0,17294,3274218,16973,0,Mriq::Java::Compute::Start,
17274,0,17394,3289675,17073,0,Mriq::Java::Compute::Start,
17374,0,17495,3143537,17174,0,Mriq::Java::Compute::Start,
17474,0,17595,3065762,17274,0,Mriq::Java::Compute::Start,
17575,0,17697,3134476,17374,0,Mriq::Java::Compute::Start,
17676,0,17797,3114568,17475,0,Mriq::Java::Compute::Start,
17776,0,17896,3100957,17575,0,Mriq::Java::Compute::Start,
17876,0,17997,3048248,17676,0,Mriq::Java::Compute::Start,
17977,0,18099,4131970,17776,0,Mriq::Java::Compute::Start,
18077,0,18204,2446686,17877,0,Mriq::Java::Compute::Start,
18177,0,18303,3070088,17977,0,Mriq::Java::Compute::Start,
18278,0,18399,3192738,18077,0,Mriq::Java::Compute::Start,
18378,0,18500,3059484,18177,0,Mriq::Java::Compute::Start,
18478,0,18600,3140361,18278,0,Mriq::Java::Compute::Start,
18579,0,18700,3133492,18378,0,Mriq::Java::Compute::Start,
18679,0,18800,3188584,18479,0,Mriq::Java::Compute::Start,
18779,0,18902,3157617,18579,0,Mriq::Java::Compute::Start,
18880,0,19002,3068931,18679,0,Mriq::Java::Compute::Start,
18980,0,19102,3890431,18780,0,Mriq::Java::Compute::Start,
19081,0,19204,4955363,18880,0,Mriq::Java::Compute::Start,
19181,0,19312,3375126,18980,0,Mriq::Java::Compute::Start,
19283,0,19409,4472909,19081,0,Mriq::Java::Compute::Start,
19383,0,19504,3351458,19181,0,Mriq::Java::Compute::Start,
19483,0,19603,3047776,19283,0,Mriq::Java::Compute::Start,
