App,Package,Start Time,Duration,Filename
"System",,"May 3, 2014 @ 02:35:20 PM","2 min 54 sec",""

Time  [ms],"Battery Status",Time  [ms],"Battery Power [uW]",Time  [ms],"Application State",Description,
10140,0,10268,3878930,8232,879,Stencil::NativeCThreaded::Init::Start,
10241,0,10363,3825278,8234,880,Stencil::NativeCThreaded::Init::Stop,
10341,0,10462,3252988,8235,852,Stencil::NativeCThreaded::Setup::Start,
10441,0,10562,2701790,8238,853,Stencil::NativeCThreaded::Setup::Stop,
10542,0,10664,2895376,8239,186,Stencil::NativeCThreaded::Allocate::Start,
10642,0,10766,2530418,8244,187,Stencil::NativeCThreaded::Allocate::Stop,
10742,0,10865,2559947,8303,126,Stencil::NativeCThreaded::Compute::Start,
10843,0,10966,2566468,8333,126,Stencil::NativeCThreaded::Compute::Start,
10943,0,11073,2945792,8433,126,Stencil::NativeCThreaded::Compute::Start,
11044,0,11166,2652706,8533,126,Stencil::NativeCThreaded::Compute::Start,
11145,0,11268,2599708,8633,126,Stencil::NativeCThreaded::Compute::Start,
11245,0,11374,2678628,8734,126,Stencil::NativeCThreaded::Compute::Start,
11345,0,11467,2593194,8834,126,Stencil::NativeCThreaded::Compute::Start,
11446,0,11567,2580101,8935,126,Stencil::NativeCThreaded::Compute::Start,
11546,0,11668,2566689,9035,126,Stencil::NativeCThreaded::Compute::Start,
11646,0,11768,2641029,9136,126,Stencil::NativeCThreaded::Compute::Start,
11746,0,11868,2647929,9236,126,Stencil::NativeCThreaded::Compute::Start,
11847,0,11968,2595812,9336,126,Stencil::NativeCThreaded::Compute::Start,
11948,0,12078,2648644,9437,126,Stencil::NativeCThreaded::Compute::Start,
12050,0,12171,2587697,9537,126,Stencil::NativeCThreaded::Compute::Start,
12150,0,12271,2792769,9637,126,Stencil::NativeCThreaded::Compute::Start,
12250,0,12373,2878242,9738,126,Stencil::NativeCThreaded::Compute::Start,
12351,0,12480,2576366,9838,126,Stencil::NativeCThreaded::Compute::Start,
12451,0,12572,3058573,9939,126,Stencil::NativeCThreaded::Compute::Start,
12551,0,12674,2596698,10040,126,Stencil::NativeCThreaded::Compute::Start,
12653,0,12774,2569462,10074,127,Stencil::NativeCThreaded::Compute::Stop,
12753,0,12874,2558337,10075,547,Stencil::NativeCThreaded::Free::Start,
12853,0,12973,2679945,10076,548,Stencil::NativeCThreaded::Free::Stop,
12953,0,13079,2631122,10140,548,Stencil::NativeCThreaded::Free::Stop,
13054,0,13175,2034639,10189,0,:: :: :: ::,
13154,0,13275,2642497,10241,0,:: :: :: ::,
13254,0,13375,2635959,10249,636,Stencil::Java::IO::Start,
13354,0,13480,2769403,10341,636,Stencil::Java::IO::Start,
13455,0,13596,2623018,10356,637,Stencil::Java::IO::Stop,
13555,0,13676,2566689,10358,779,Stencil::Java::Allocate::Start,
13656,0,13777,2556266,10377,780,Stencil::Java::Allocate::Stop,
13756,0,13877,2594595,10431,47,Stencil::Java::Compute::Start,
13856,0,13977,2687440,10441,47,Stencil::Java::Compute::Start,
13956,0,14082,2811560,10542,47,Stencil::Java::Compute::Start,
14057,0,14178,2586299,10642,47,Stencil::Java::Compute::Start,
14157,0,14278,2835308,10742,47,Stencil::Java::Compute::Start,
14257,0,14378,2882879,10843,47,Stencil::Java::Compute::Start,
14358,0,14478,2772451,10943,47,Stencil::Java::Compute::Start,
14458,0,14586,2862530,11044,47,Stencil::Java::Compute::Start,
14558,0,14682,3058400,11145,47,Stencil::Java::Compute::Start,
14659,0,14781,2941232,11245,47,Stencil::Java::Compute::Start,
14759,0,14881,3254612,11346,47,Stencil::Java::Compute::Start,
14859,0,14982,2219451,11446,47,Stencil::Java::Compute::Start,
14960,0,15083,2945534,11546,47,Stencil::Java::Compute::Start,
15061,0,15181,2961561,11646,47,Stencil::Java::Compute::Start,
15161,0,15281,2534581,11747,47,Stencil::Java::Compute::Start,
15261,0,15382,2473670,11847,47,Stencil::Java::Compute::Start,
15362,0,15486,2689008,11948,47,Stencil::Java::Compute::Start,
15464,0,15590,2815015,12050,47,Stencil::Java::Compute::Start,
15565,0,15691,2626197,12150,47,Stencil::Java::Compute::Start,
15665,0,15796,2659042,12251,47,Stencil::Java::Compute::Start,
15766,0,15888,2472036,12351,47,Stencil::Java::Compute::Start,
